Power(W), TimePDU(S), TimeNODE(mS)
176, 1564291540, 1564291541102
176, 1564291540, 1564291541181
176, 1564291540, 1564291541260
170, 1564291540, 1564291541339
170, 1564291541, 1564291541417
170, 1564291541, 1564291541496
170, 1564291541, 1564291541575
170, 1564291541, 1564291541654
170, 1564291541, 1564291541731
170, 1564291541, 1564291541810
170, 1564291541, 1564291541885
170, 1564291541, 1564291541964
170, 1564291541, 1564291542043
170, 1564291541, 1564291542120
170, 1564291541, 1564291542198
169, 1564291541, 1564291542276
169, 1564291542, 1564291542355
169, 1564291542, 1564291542432
169, 1564291542, 1564291542508
169, 1564291542, 1564291542584
169, 1564291542, 1564291542664
169, 1564291542, 1564291542741
169, 1564291542, 1564291542820
169, 1564291542, 1564291542896
169, 1564291542, 1564291542974
169, 1564291542, 1564291543053
169, 1564291542, 1564291543132
169, 1564291542, 1564291543209
169, 1564291542, 1564291543285
169, 1564291542, 1564291543363
169, 1564291543, 1564291543442
169, 1564291543, 1564291543519
169, 1564291543, 1564291543598
169, 1564291543, 1564291543674
169, 1564291543, 1564291543746
169, 1564291543, 1564291543824
169, 1564291543, 1564291543902
169, 1564291543, 1564291543980
169, 1564291543, 1564291544058
169, 1564291543, 1564291544136
169, 1564291543, 1564291544215
169, 1564291543, 1564291544294
169, 1564291543, 1564291544372
169, 1564291544, 1564291544450
169, 1564291544, 1564291544527
169, 1564291544, 1564291544604
169, 1564291544, 1564291544682
169, 1564291544, 1564291544760
169, 1564291544, 1564291544836
169, 1564291544, 1564291544915
169, 1564291544, 1564291544993
169, 1564291544, 1564291545071
169, 1564291544, 1564291545148
169, 1564291544, 1564291545226
169, 1564291544, 1564291545304
169, 1564291545, 1564291545384
169, 1564291545, 1564291545462
169, 1564291545, 1564291545541
169, 1564291545, 1564291545617
169, 1564291545, 1564291545695
169, 1564291545, 1564291545775
169, 1564291545, 1564291545853
169, 1564291545, 1564291545930
169, 1564291545, 1564291546009
169, 1564291545, 1564291546088
169, 1564291545, 1564291546164
169, 1564291545, 1564291546244
169, 1564291545, 1564291546323
169, 1564291546, 1564291546403
169, 1564291546, 1564291546481
169, 1564291546, 1564291546558
169, 1564291546, 1564291546636
169, 1564291546, 1564291546715
169, 1564291546, 1564291546794
169, 1564291546, 1564291546872
169, 1564291546, 1564291546947
169, 1564291546, 1564291547025
169, 1564291546, 1564291547103
169, 1564291546, 1564291547182
169, 1564291546, 1564291547258
168, 1564291546, 1564291547336
168, 1564291547, 1564291547415
168, 1564291547, 1564291547494
168, 1564291547, 1564291547574
168, 1564291547, 1564291547648
168, 1564291547, 1564291547719
168, 1564291547, 1564291547791
168, 1564291547, 1564291547868
168, 1564291547, 1564291547944
168, 1564291547, 1564291548021
168, 1564291547, 1564291548099
168, 1564291547, 1564291548175
168, 1564291547, 1564291548252
168, 1564291547, 1564291548330
169, 1564291548, 1564291548410
169, 1564291548, 1564291548485
169, 1564291548, 1564291548561
169, 1564291548, 1564291548638
169, 1564291548, 1564291548715
169, 1564291548, 1564291548793
169, 1564291548, 1564291548871
169, 1564291548, 1564291548948
169, 1564291548, 1564291549024
169, 1564291548, 1564291549102
169, 1564291548, 1564291549181
169, 1564291548, 1564291549258
169, 1564291548, 1564291549334
169, 1564291549, 1564291549413
169, 1564291549, 1564291549488
169, 1564291549, 1564291549566
169, 1564291549, 1564291549644
169, 1564291549, 1564291549723
169, 1564291549, 1564291549802
169, 1564291549, 1564291549881
169, 1564291549, 1564291549958
169, 1564291549, 1564291550034
169, 1564291549, 1564291550112
169, 1564291549, 1564291550189
169, 1564291549, 1564291550267
167, 1564291549, 1564291550345
167, 1564291550, 1564291550422
