Power(W), TimePDU(S), TimeNODE(mS)
174, 1564086232, 1564086233230
174, 1564086233, 1564086233310
174, 1564086233, 1564086233388
174, 1564086233, 1564086233466
174, 1564086233, 1564086233545
174, 1564086233, 1564086233622
174, 1564086233, 1564086233699
174, 1564086233, 1564086233778
174, 1564086233, 1564086233855
174, 1564086233, 1564086233933
174, 1564086233, 1564086234009
174, 1564086233, 1564086234087
174, 1564086233, 1564086234166
174, 1564086233, 1564086234243
239, 1564086234, 1564086234323
239, 1564086234, 1564086234402
239, 1564086234, 1564086234478
239, 1564086234, 1564086234556
239, 1564086234, 1564086234633
239, 1564086234, 1564086234713
239, 1564086234, 1564086234790
239, 1564086234, 1564086234867
239, 1564086234, 1564086234946
239, 1564086234, 1564086235024
239, 1564086234, 1564086235103
239, 1564086234, 1564086235180
262, 1564086234, 1564086235256
262, 1564086235, 1564086235335
262, 1564086235, 1564086235413
262, 1564086235, 1564086235491
262, 1564086235, 1564086235569
262, 1564086235, 1564086235644
262, 1564086235, 1564086235723
262, 1564086235, 1564086235801
262, 1564086235, 1564086235879
262, 1564086235, 1564086235956
262, 1564086235, 1564086236036
262, 1564086235, 1564086236113
262, 1564086235, 1564086236192
262, 1564086235, 1564086236268
233, 1564086236, 1564086236345
233, 1564086236, 1564086236425
233, 1564086236, 1564086236503
233, 1564086236, 1564086236581
233, 1564086236, 1564086236659
233, 1564086236, 1564086236735
233, 1564086236, 1564086236812
233, 1564086236, 1564086236889
233, 1564086236, 1564086236967
233, 1564086236, 1564086237043
233, 1564086236, 1564086237122
233, 1564086236, 1564086237200
201, 1564086237, 1564086237282
201, 1564086237, 1564086237359
201, 1564086237, 1564086237438
201, 1564086237, 1564086237516
201, 1564086237, 1564086237595
201, 1564086237, 1564086237672
201, 1564086237, 1564086237751
201, 1564086237, 1564086237828
201, 1564086237, 1564086237905
201, 1564086237, 1564086237985
201, 1564086237, 1564086238064
201, 1564086237, 1564086238143
201, 1564086237, 1564086238223
192, 1564086237, 1564086238299
192, 1564086238, 1564086238378
192, 1564086238, 1564086238457
192, 1564086238, 1564086238536
192, 1564086238, 1564086238613
192, 1564086238, 1564086238689
192, 1564086238, 1564086238767
192, 1564086238, 1564086238844
192, 1564086238, 1564086238923
192, 1564086238, 1564086238999
192, 1564086238, 1564086239077
192, 1564086238, 1564086239154
192, 1564086238, 1564086239229
194, 1564086239, 1564086239307
194, 1564086239, 1564086239385
194, 1564086239, 1564086239465
194, 1564086239, 1564086239541
194, 1564086239, 1564086239618
194, 1564086239, 1564086239695
194, 1564086239, 1564086239773
194, 1564086239, 1564086239854
194, 1564086239, 1564086239930
194, 1564086239, 1564086240015
194, 1564086239, 1564086240127
194, 1564086239, 1564086240238
193, 1564086239, 1564086240329
193, 1564086241, 1564086240409
193, 1564086241, 1564086240488
193, 1564086241, 1564086240565
193, 1564086241, 1564086240639
193, 1564086241, 1564086240715
193, 1564086241, 1564086240794
193, 1564086241, 1564086240874
193, 1564086241, 1564086240953
193, 1564086241, 1564086241030
193, 1564086241, 1564086241108
193, 1564086241, 1564086241187
193, 1564086241, 1564086241272
193, 1564086241, 1564086241353
193, 1564086241, 1564086241432
193, 1564086241, 1564086241511
193, 1564086241, 1564086241588
193, 1564086241, 1564086241665
193, 1564086241, 1564086241745
193, 1564086241, 1564086241823
193, 1564086241, 1564086241902
193, 1564086241, 1564086241980
193, 1564086241, 1564086242058
193, 1564086241, 1564086242137
193, 1564086241, 1564086242216
193, 1564086241, 1564086242294
193, 1564086242, 1564086242372
193, 1564086242, 1564086242450
193, 1564086242, 1564086242528
193, 1564086242, 1564086242604
193, 1564086242, 1564086242684
193, 1564086242, 1564086242760
193, 1564086242, 1564086242837
193, 1564086242, 1564086242916
193, 1564086242, 1564086242993
193, 1564086242, 1564086243072
193, 1564086242, 1564086243150
194, 1564086242, 1564086243229
194, 1564086243, 1564086243309
194, 1564086243, 1564086243387
194, 1564086243, 1564086243464
194, 1564086243, 1564086243544
194, 1564086243, 1564086243622
194, 1564086243, 1564086243700
194, 1564086243, 1564086243776
194, 1564086243, 1564086243855
194, 1564086243, 1564086243933
194, 1564086243, 1564086244010
194, 1564086243, 1564086244087
194, 1564086243, 1564086244166
194, 1564086243, 1564086244242
193, 1564086244, 1564086244321
193, 1564086244, 1564086244399
193, 1564086244, 1564086244476
193, 1564086244, 1564086244556
193, 1564086244, 1564086244633
193, 1564086244, 1564086244712
193, 1564086244, 1564086244790
193, 1564086244, 1564086244868
193, 1564086244, 1564086244945
193, 1564086244, 1564086245023
193, 1564086244, 1564086245101
193, 1564086244, 1564086245178
193, 1564086244, 1564086245256
193, 1564086245, 1564086245335
193, 1564086245, 1564086245414
193, 1564086245, 1564086245492
193, 1564086245, 1564086245569
193, 1564086245, 1564086245646
193, 1564086245, 1564086245724
193, 1564086245, 1564086245801
193, 1564086245, 1564086245878
193, 1564086245, 1564086245954
193, 1564086245, 1564086246033
193, 1564086245, 1564086246111
193, 1564086245, 1564086246188
192, 1564086245, 1564086246266
192, 1564086246, 1564086246344
192, 1564086246, 1564086246423
192, 1564086246, 1564086246500
192, 1564086246, 1564086246576
192, 1564086246, 1564086246655
192, 1564086246, 1564086246733
192, 1564086246, 1564086246809
192, 1564086246, 1564086246888
192, 1564086246, 1564086246965
192, 1564086246, 1564086247045
192, 1564086246, 1564086247122
192, 1564086246, 1564086247199
193, 1564086247, 1564086247279
193, 1564086247, 1564086247356
193, 1564086247, 1564086247434
193, 1564086247, 1564086247513
193, 1564086247, 1564086247591
193, 1564086247, 1564086247670
193, 1564086247, 1564086247746
193, 1564086247, 1564086247824
193, 1564086247, 1564086247902
193, 1564086247, 1564086247980
193, 1564086247, 1564086248057
193, 1564086247, 1564086248135
193, 1564086247, 1564086248214
192, 1564086247, 1564086248292
192, 1564086248, 1564086248371
192, 1564086248, 1564086248448
192, 1564086248, 1564086248526
192, 1564086248, 1564086248604
192, 1564086248, 1564086248683
192, 1564086248, 1564086248759
192, 1564086248, 1564086248836
192, 1564086248, 1564086248914
192, 1564086248, 1564086248991
192, 1564086248, 1564086249068
192, 1564086248, 1564086249146
192, 1564086248, 1564086249223
192, 1564086248, 1564086249298
192, 1564086249, 1564086249376
192, 1564086249, 1564086249454
192, 1564086249, 1564086249532
192, 1564086249, 1564086249611
192, 1564086249, 1564086249687
192, 1564086249, 1564086249766
192, 1564086249, 1564086249843
192, 1564086249, 1564086249920
192, 1564086249, 1564086249997
192, 1564086249, 1564086250074
192, 1564086249, 1564086250153
192, 1564086249, 1564086250232
192, 1564086250, 1564086250312
192, 1564086250, 1564086250389
192, 1564086250, 1564086250467
192, 1564086250, 1564086250545
192, 1564086250, 1564086250622
192, 1564086250, 1564086250701
192, 1564086250, 1564086250778
192, 1564086250, 1564086250856
192, 1564086250, 1564086250935
192, 1564086250, 1564086251014
192, 1564086250, 1564086251095
192, 1564086250, 1564086251174
192, 1564086250, 1564086251253
192, 1564086250, 1564086251331
192, 1564086252, 1564086251410
192, 1564086252, 1564086251488
192, 1564086252, 1564086251567
192, 1564086252, 1564086251645
192, 1564086252, 1564086251722
192, 1564086252, 1564086251799
192, 1564086252, 1564086251876
192, 1564086252, 1564086251952
192, 1564086252, 1564086252029
192, 1564086252, 1564086252107
192, 1564086252, 1564086252184
192, 1564086252, 1564086252265
192, 1564086252, 1564086252342
192, 1564086253, 1564086252420
192, 1564086253, 1564086252498
192, 1564086253, 1564086252577
192, 1564086253, 1564086252655
192, 1564086253, 1564086252734
192, 1564086253, 1564086252813
192, 1564086253, 1564086252893
192, 1564086253, 1564086252971
192, 1564086253, 1564086253050
192, 1564086253, 1564086253126
192, 1564086253, 1564086253205
192, 1564086253, 1564086253285
192, 1564086253, 1564086253365
192, 1564086253, 1564086253443
192, 1564086253, 1564086253522
192, 1564086253, 1564086253599
192, 1564086253, 1564086253676
192, 1564086253, 1564086253754
192, 1564086253, 1564086253831
192, 1564086253, 1564086253909
192, 1564086253, 1564086253987
192, 1564086253, 1564086254064
192, 1564086253, 1564086254140
192, 1564086253, 1564086254217
191, 1564086253, 1564086254294
191, 1564086254, 1564086254373
191, 1564086254, 1564086254450
191, 1564086254, 1564086254524
191, 1564086254, 1564086254603
191, 1564086254, 1564086254681
191, 1564086254, 1564086254759
191, 1564086254, 1564086254836
191, 1564086254, 1564086254914
191, 1564086254, 1564086254993
191, 1564086254, 1564086255070
191, 1564086254, 1564086255147
191, 1564086254, 1564086255225
192, 1564086254, 1564086255303
192, 1564086255, 1564086255384
192, 1564086255, 1564086255463
192, 1564086255, 1564086255542
192, 1564086255, 1564086255619
192, 1564086255, 1564086255696
192, 1564086255, 1564086255774
192, 1564086255, 1564086255854
192, 1564086255, 1564086255933
192, 1564086255, 1564086256010
192, 1564086255, 1564086256087
192, 1564086255, 1564086256165
192, 1564086255, 1564086256245
197, 1564086256, 1564086256325
197, 1564086256, 1564086256403
197, 1564086256, 1564086256482
197, 1564086256, 1564086256558
197, 1564086256, 1564086256634
197, 1564086256, 1564086256712
197, 1564086256, 1564086256789
197, 1564086256, 1564086256867
197, 1564086256, 1564086256946
197, 1564086256, 1564086257025
197, 1564086256, 1564086257101
197, 1564086256, 1564086257179
197, 1564086256, 1564086257255
193, 1564086256, 1564086257335
193, 1564086258, 1564086257415
193, 1564086258, 1564086257492
193, 1564086258, 1564086257570
193, 1564086258, 1564086257646
193, 1564086258, 1564086257723
193, 1564086258, 1564086257803
193, 1564086258, 1564086257881
193, 1564086258, 1564086257960
193, 1564086258, 1564086258036
193, 1564086258, 1564086258112
193, 1564086258, 1564086258191
193, 1564086258, 1564086258269
193, 1564086258, 1564086258347
193, 1564086258, 1564086258424
193, 1564086258, 1564086258504
192, 1564086258, 1564086258582
192, 1564086259, 1564086258660
192, 1564086259, 1564086258738
192, 1564086259, 1564086258816
192, 1564086259, 1564086258895
192, 1564086259, 1564086258975
192, 1564086259, 1564086259053
192, 1564086259, 1564086259131
192, 1564086259, 1564086259208
192, 1564086259, 1564086259286
189, 1564086259, 1564086259365
189, 1564086259, 1564086259444
189, 1564086259, 1564086259521
189, 1564086259, 1564086259599
189, 1564086259, 1564086259677
189, 1564086259, 1564086259755
189, 1564086259, 1564086259833
189, 1564086259, 1564086259910
189, 1564086259, 1564086259988
189, 1564086259, 1564086260066
189, 1564086259, 1564086260143
189, 1564086259, 1564086260222
194, 1564086259, 1564086260301
194, 1564086260, 1564086260379
194, 1564086260, 1564086260457
194, 1564086260, 1564086260534
194, 1564086260, 1564086260613
194, 1564086260, 1564086260690
194, 1564086260, 1564086260768
194, 1564086260, 1564086260845
194, 1564086260, 1564086260924
194, 1564086260, 1564086261002
194, 1564086260, 1564086261079
194, 1564086260, 1564086261156
194, 1564086260, 1564086261235
193, 1564086260, 1564086261313
193, 1564086261, 1564086261392
193, 1564086261, 1564086261468
193, 1564086261, 1564086261547
193, 1564086261, 1564086261623
193, 1564086261, 1564086261702
193, 1564086261, 1564086261781
193, 1564086261, 1564086261858
193, 1564086261, 1564086261936
193, 1564086261, 1564086262015
193, 1564086261, 1564086262095
193, 1564086261, 1564086262173
193, 1564086261, 1564086262252
193, 1564086261, 1564086262329
192, 1564086263, 1564086262408
192, 1564086263, 1564086262487
