Power(W), TimePDU(S), TimeNODE(mS)
166, 1564209411, 1564209411553
166, 1564209411, 1564209411632
166, 1564209411, 1564209411710
166, 1564209411, 1564209411787
166, 1564209411, 1564209411865
181, 1564209412, 1564209411945
181, 1564209412, 1564209412024
181, 1564209412, 1564209412102
181, 1564209412, 1564209412178
181, 1564209412, 1564209412256
181, 1564209412, 1564209412333
181, 1564209412, 1564209412410
181, 1564209412, 1564209412486
181, 1564209412, 1564209412565
181, 1564209412, 1564209412644
181, 1564209412, 1564209412722
181, 1564209412, 1564209412799
220, 1564209412, 1564209412880
220, 1564209413, 1564209412956
220, 1564209413, 1564209413033
220, 1564209413, 1564209413111
220, 1564209413, 1564209413189
220, 1564209413, 1564209413265
220, 1564209413, 1564209413345
220, 1564209413, 1564209413424
220, 1564209413, 1564209413503
220, 1564209413, 1564209413582
220, 1564209413, 1564209413659
220, 1564209413, 1564209413738
220, 1564209413, 1564209413816
200, 1564209413, 1564209413894
200, 1564209414, 1564209413975
200, 1564209414, 1564209414055
200, 1564209414, 1564209414134
200, 1564209414, 1564209414214
200, 1564209414, 1564209414293
200, 1564209414, 1564209414371
200, 1564209414, 1564209414449
200, 1564209414, 1564209414526
200, 1564209414, 1564209414604
200, 1564209414, 1564209414682
200, 1564209414, 1564209414762
193, 1564209414, 1564209414840
193, 1564209415, 1564209414917
193, 1564209415, 1564209414994
193, 1564209415, 1564209415073
193, 1564209415, 1564209415151
193, 1564209415, 1564209415229
193, 1564209415, 1564209415307
193, 1564209415, 1564209415383
193, 1564209415, 1564209415460
193, 1564209415, 1564209415537
193, 1564209415, 1564209415614
193, 1564209415, 1564209415692
193, 1564209415, 1564209415772
193, 1564209415, 1564209415849
208, 1564209416, 1564209415929
208, 1564209416, 1564209416005
208, 1564209416, 1564209416083
208, 1564209416, 1564209416161
208, 1564209416, 1564209416237
208, 1564209416, 1564209416315
208, 1564209416, 1564209416393
208, 1564209416, 1564209416471
208, 1564209416, 1564209416549
208, 1564209416, 1564209416627
208, 1564209416, 1564209416703
208, 1564209416, 1564209416782
211, 1564209416, 1564209416861
211, 1564209417, 1564209416941
211, 1564209417, 1564209417017
211, 1564209417, 1564209417094
211, 1564209417, 1564209417174
211, 1564209417, 1564209417252
211, 1564209417, 1564209417327
211, 1564209417, 1564209417405
211, 1564209417, 1564209417483
211, 1564209417, 1564209417563
211, 1564209417, 1564209417639
211, 1564209417, 1564209417717
211, 1564209417, 1564209417793
211, 1564209417, 1564209417872
177, 1564209418, 1564209417953
177, 1564209418, 1564209418029
177, 1564209418, 1564209418106
177, 1564209418, 1564209418184
177, 1564209418, 1564209418260
177, 1564209418, 1564209418339
177, 1564209418, 1564209418415
177, 1564209418, 1564209418495
177, 1564209418, 1564209418573
177, 1564209418, 1564209418652
177, 1564209418, 1564209418729
177, 1564209418, 1564209418806
191, 1564209418, 1564209418883
191, 1564209419, 1564209418963
191, 1564209419, 1564209419040
191, 1564209419, 1564209419115
191, 1564209419, 1564209419192
191, 1564209419, 1564209419267
191, 1564209419, 1564209419344
191, 1564209419, 1564209419421
191, 1564209419, 1564209419499
191, 1564209419, 1564209419578
191, 1564209419, 1564209419653
191, 1564209419, 1564209419729
191, 1564209419, 1564209419807
191, 1564209419, 1564209419885
245, 1564209420, 1564209419965
245, 1564209420, 1564209420042
245, 1564209420, 1564209420120
245, 1564209420, 1564209420198
245, 1564209420, 1564209420276
245, 1564209420, 1564209420353
245, 1564209420, 1564209420431
245, 1564209420, 1564209420509
245, 1564209420, 1564209420588
245, 1564209420, 1564209420665
245, 1564209420, 1564209420743
245, 1564209420, 1564209420822
235, 1564209421, 1564209420901
235, 1564209421, 1564209420979
235, 1564209421, 1564209421056
235, 1564209421, 1564209421134
235, 1564209421, 1564209421213
235, 1564209421, 1564209421292
235, 1564209421, 1564209421369
235, 1564209421, 1564209421446
235, 1564209421, 1564209421524
235, 1564209421, 1564209421603
235, 1564209421, 1564209421682
235, 1564209421, 1564209421760
235, 1564209421, 1564209421837
196, 1564209421, 1564209421914
196, 1564209422, 1564209421992
196, 1564209422, 1564209422070
196, 1564209422, 1564209422147
