Power(W), TimePDU(S), TimeNODE(mS)
167, 1564013467, 1564013467591
167, 1564013467, 1564013467665
167, 1564013467, 1564013467743
167, 1564013467, 1564013467821
167, 1564013467, 1564013467898
167, 1564013467, 1564013467975
167, 1564013467, 1564013468051
167, 1564013467, 1564013468127
168, 1564013467, 1564013468205
168, 1564013468, 1564013468280
168, 1564013468, 1564013468354
168, 1564013468, 1564013468431
168, 1564013468, 1564013468506
168, 1564013468, 1564013468584
168, 1564013468, 1564013468663
168, 1564013468, 1564013468739
168, 1564013468, 1564013468817
168, 1564013468, 1564013468895
168, 1564013468, 1564013468973
168, 1564013468, 1564013469049
168, 1564013468, 1564013469126
166, 1564013468, 1564013469204
166, 1564013469, 1564013469283
166, 1564013469, 1564013469359
166, 1564013469, 1564013469437
166, 1564013469, 1564013469514
166, 1564013469, 1564013469591
166, 1564013469, 1564013469667
166, 1564013469, 1564013469745
166, 1564013469, 1564013469824
166, 1564013469, 1564013469903
166, 1564013469, 1564013469979
166, 1564013469, 1564013470057
166, 1564013469, 1564013470135
167, 1564013469, 1564013470212
167, 1564013470, 1564013470290
167, 1564013470, 1564013470369
167, 1564013470, 1564013470445
167, 1564013470, 1564013470523
167, 1564013470, 1564013470603
167, 1564013470, 1564013470680
167, 1564013470, 1564013470756
167, 1564013470, 1564013470833
167, 1564013470, 1564013470909
167, 1564013470, 1564013470985
167, 1564013470, 1564013471063
167, 1564013470, 1564013471141
165, 1564013471, 1564013471221
165, 1564013471, 1564013471298
165, 1564013471, 1564013471374
165, 1564013471, 1564013471449
165, 1564013471, 1564013471524
165, 1564013471, 1564013471602
165, 1564013471, 1564013471679
165, 1564013471, 1564013471756
165, 1564013471, 1564013471835
165, 1564013471, 1564013471913
165, 1564013471, 1564013471991
165, 1564013471, 1564013472069
165, 1564013471, 1564013472147
166, 1564013471, 1564013472223
166, 1564013472, 1564013472303
166, 1564013472, 1564013472382
166, 1564013472, 1564013472458
166, 1564013472, 1564013472535
166, 1564013472, 1564013472613
166, 1564013472, 1564013472692
166, 1564013472, 1564013472769
166, 1564013472, 1564013472846
166, 1564013472, 1564013472924
166, 1564013472, 1564013473003
166, 1564013472, 1564013473079
165, 1564013472, 1564013473157
165, 1564013473, 1564013473236
165, 1564013473, 1564013473312
165, 1564013473, 1564013473388
165, 1564013473, 1564013473463
165, 1564013473, 1564013473540
165, 1564013473, 1564013473619
165, 1564013473, 1564013473695
165, 1564013473, 1564013473772
165, 1564013473, 1564013473850
165, 1564013473, 1564013473925
165, 1564013473, 1564013474000
165, 1564013473, 1564013474073
165, 1564013473, 1564013474149
166, 1564013473, 1564013474225
166, 1564013474, 1564013474302
166, 1564013474, 1564013474380
166, 1564013474, 1564013474454
166, 1564013474, 1564013474531
166, 1564013474, 1564013474609
166, 1564013474, 1564013474685
166, 1564013474, 1564013474764
166, 1564013474, 1564013474843
166, 1564013474, 1564013474920
166, 1564013474, 1564013474997
166, 1564013474, 1564013475075
166, 1564013474, 1564013475150
165, 1564013475, 1564013475229
165, 1564013475, 1564013475305
165, 1564013475, 1564013475383
165, 1564013475, 1564013475461
165, 1564013475, 1564013475537
165, 1564013475, 1564013475615
165, 1564013475, 1564013475692
165, 1564013475, 1564013475770
165, 1564013475, 1564013475847
165, 1564013475, 1564013475924
165, 1564013475, 1564013476001
165, 1564013475, 1564013476079
165, 1564013475, 1564013476156
